  Did not work,0.9,0.2,0.7,1.2,2.8,0.5,2.1,3.6,2.0,0.4,1.2,2.7,4.8,0.6,3.9,5.7,2.8,0.6,1.8,3.9,1.7,0.4,1.0,2.3,0.6,0.1,0.4,0.7,1.1,0.4,0.5,1.7,2.9,0.8,1.6,4.3,1.8,0.2,1.4,2.1,2.2,0.5,1.4,3.0,2.0,0.7,0.8,3.3
Not Reported,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-0.0,0.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SECTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total ,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,
  Agriculture,33.0,1.1,31.1,34.8,31.6,1.9,28.5,34.7,37.2,2.3,33.3,41.0,30.4,1.1,28.6,32.1,35.3,1.8,32.3,38.4,32.3,2.2,28.7,35.9,28.3,0.7,27.2,29.4,33.4,2.1,29.9,36.9,36.2,2.4,32.3,40.1,31.8,1.1,30.0,33.7,34.4,2.2,30.9,38.0,33.3,2.3,29.6,37.0
  Industry,19.0,0.7,17.9,20.1,18.8,1.2,16.7,20.8,18.5,1.4,16.2,20.7,19.1,0.8,17.9,20.4,17.9,1.2,15.8,19.9,17.6,1.3,15.5,19.7,20.9,0.4,20.2,21.7,19.0,1.4,16.7,21.3,18.1,1.6,15.4,20.8,19.5,0.8,18.2,20.7,16.5,1.2,14.6,18.4,19.9,1.4,17.5,22.3
  Services,48.1,1.0,46.4,49.8,49.6,1.9,46.6,52.7,44.3,2.1,40.9,47.7,50.5,0.9,49.0,52.0,46.8,1.9,43.7,49.9,50.1,1.9,47.0,53.2,50.7,0.6,49.8,51.7,47.6,2.1,44.1,51.1,45.7,1.9,42.6,48.8,48.7,1.0,47.0,50.4,49.1,2.1,45.6,52.5,46.7,1.9,43.6,49.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNEMPLOYED PERSONS,"3,953",102,"3,785","4,122","4,187",191,"3,873","4,502","3,441",170,"3,161","3,720","4,138",123,"3,936","4,340","3,730",196,"3,409","4,052","3,764",210,"3,419","4,110","3,073",69,"2,960","3,187","3,882",235,"3,495","4,269","4,255",249,"3,845","4,665","3,504",102,"3,336","3,671","3,159",218,"2,800","3,518"," 3,272 ",180,"2,977","3,567"
  Number (in thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  AGE GROUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total ,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,
  15 - 24,34.8,0.9,33.4,36.2,33.4,1.6,30.7,36.1,36.0,1.7,33.3,38.8,29.2,0.8,27.9,30.5,29.9,1.6,27.4,32.5,30.8,1.6,28.1,33.5,33.0,0.9,31.6,34.4,31.4,1.8,28.4,34.4,29.9,1.5,27.4,32.5,31.0,0.9,29.6,32.4,31.9,2.0,28.6,35.1,28.9,1.8,26.0,31.9
  25 - 34,33.9,0.9,32.5,35.3,32.6,1.7,29.8,35.3,34.3,1.7,31.6,37.0,34.2,0.9,32.7,35.6,35.9,1.8,32.9,38.9,35.3,1.7,32.6,38.1,33.0,0.8,31.7,34.4,32.8,1.6,30.2,35.4,35.0,1.6,32.3,37.6,33.1,0.9,31.6,34.6,31.5,2.1,28.1,35.0,33.9,1.9,30.8,37.1
  35 - 44,14.9,0.6,13.8,16.0,15.7,1.5,13.2,18.2,12.7,1.1,10.9,14.6,17.4,0.7,16.2,18.6,12.5,1.0,10.9,14.2,16.5,1.4,14.2,18.7,15.7,0.6,14.7,16.6,17.0,1.5,14.6,19.4,14.8,1.5,12.3,17.2,16.5,0.7,15.4,17.7,17.3,1.8,14.4,20.3,15.8,1.5,13.3,18.3
  45 - 54,10.0,0.5,9.2,10.8,9.8,0.9,8.3,11.3,10.5,1.2,8.6,12.5,12.0,0.6,11.0,13.0,13.1,1.3,10.9,15.3,10.7,1.1,8.8,12.5,11.1,0.4,10.3,11.8,11.4,1.2,9.4,13.3,11.7,1.0,10.0,13.3,11.4,0.6,10.3,12.4,11.6,1.6,9.0,14.2,11.7,1.0,10.2,13.3
  55 - 64,5.0,0.3,4.4,5.6,6.7,0.9,5.3,8.1,5.1,0.7,4.0,6.3,6.0,0.4,5.3,6.7,6.7,0.8,5.4,8.1,5.3,0.7,4.2,6.5,6.0,0.3,5.5,6.4,6.0,0.8,4.6,7.4,7.7,0.9,6.3,9.1,6.9,0.5,6.1,7.6,6.8,1.0,5.2,8.4,7.5,1.0,5.8,9.2
  65 and over,1.3,0.2,1.0,1.7,1.8,0.6,0.8,2.9,1.2,0.4,0.6,1.9,1.2,0.2,0.9,1.6,1.8,0.5,1.1,2.6,1.4,0.3,0.9,1.9,1.3,0.1,1.1,1.5,1.4,0.3,0.9,2.0,1.0,0.2,0.6,1.4,1.1,0.2,0.9,1.4,0.9,0.5,-0.0,1.8,2.1,0.5,1.3,2.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total ,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,
  Male,61.3,0.9,59.8,62.8,57.0,1.7,54.2,59.8,55.3,1.8,52.3,58.3,57.6,1.0,56.0,59.3,59.5,1.8,56.6,62.5,52.1,2.1,48.6,55.6,56.2,0.7,55.0,57.3,58.5,1.8,55.5,61.5,56.1,1.6,53.4,58.7,58.8,1.0,57.2,60.4,58.5,2.1,55.0,62.1,56.3,1.9,53.2,59.4
  Female,38.7,0.9,37.2,40.2,43.0,1.7,40.2,45.8,44.7,1.8,41.7,47.7,42.4,1.0,40.7,44.0,40.5,1.8,37.5,43.4,47.9,2.1,44.4,51.4,43.8,0.7,42.7,45.0,41.5,1.8,38.5,44.5,43.9,1.6,41.3,46.6,41.2,1.0,39.6,42.8,41.5,2.1,37.9,45.0,43.7,1.9,40.6,46.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  HIGHEST GRADE COMPLETED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,
  No grade completed,0.7,0.1,0.5,0.9,0.5,0.2,0.2,0.8,0.1,0.0,0.0,0.1,0.3,0.1,0.2,0.5,0.2,0.2,-0.0,0.5,0.6,0.2,0.2,1.0,0.5,0.1,0.3,0.6,0.3,0.1,0.1,0.4,0.7,0.3,0.2,1.1,0.4,0.1,0.2,0.5,0.2,0.1,0.0,0.3,0.8,0.2,0.4,1.1
  Elementary,13.2,0.7,12.1,14.4,13.8,1.6,11.1,16.5,10.9,1.3,8.8,13.0,11.6,0.6,10.6,12.7,10.9,1.2,9.0,12.8,12.1,1.2,10.2,14.1,12.5,0.5,11.7,13.3,13.2,1.2,11.3,15.1,13.6,1.2,11.7,15.6,12.9,0.7,11.7,14.1,11.0,1.3,8.8,13.2,12.5,1.3,10.4,14.6
Undergraduate,5.9,0.5,5.1,6.7,6.7,0.9,5.2,8.3,4.1,0.8,2.8,5.5,4.9,0.4,4.3,5.5,3.7,0.7,2.6,4.8,5.0,0.7,3.8,6.2,6.1,0.4,5.5,6.7,7.2,0.9,5.8,8.6,6.5,0.9,5.1,7.9,5.2,0.4,4.5,5.9,4.5,1.0,2.8,6.2,6.4,1.1,4.6,8.1
Graduate,7.3,0.5,6.5,8.1,7.1,1.2,5.1,9.0,6.8,0.9,5.3,8.3,6.7,0.5,5.9,7.6,7.2,0.9,5.7,8.7,7.2,0.9,5.7,8.6,6.4,0.3,5.9,6.9,6.0,0.7,4.8,7.2,7.1,0.9,5.7,8.5,7.6,0.5,6.7,8.5,6.5,0.8,5.2,7.9,6.1,0.7,4.9,7.4
  Junior high school,37.0,0.9,35.6,38.4,37.4,1.7,34.6,40.2,38.6,2.1,35.2,42.1,38.9,1.0,37.3,40.4,36.5,2.2,33.0,40.1,40.0,2.3,36.2,43.7,37.9,0.7,36.7,39.2,40.5,1.8,37.5,43.6,39.6,1.8,36.6,42.5,36.2,1.0,34.6,37.9,37.8,2.1,34.4,41.3,35.7,2.0,32.4,38.9
Undergraduate,10.1,0.5,9.3,10.9,12.5,1.1,10.7,14.3,10.1,1.0,8.4,11.9,9.2,0.5,8.4,10.1,9.9,1.3,7.7,12.1,11.2,1.2,9.1,13.2,11.1,0.5,10.3,11.9,12.9,1.3,10.8,15.0,12.8,1.1,11.0,14.6,9.9,0.6,8.9,10.8,11.3,1.5,8.9,13.7,9.3,1.1,7.4,11.1
Graduate,26.9,0.8,25.6,28.2,24.9,1.5,22.3,27.4,28.5,1.9,25.3,31.7,29.6,0.9,28.2,31.1,26.7,1.6,24.1,29.2,28.8,1.8,25.9,31.7,26.9,0.7,25.7,28.0,27.6,1.6,24.9,30.3,26.8,1.4,24.5,29.1,26.4,0.9,24.9,27.8,26.5,1.6,23.9,29.2,26.4,1.6,23.7,29.0
  Senior high school,8.0,0.5,7.2,8.8,5.4,0.7,4.2,6.6,9.5,1.1,7.7,11.2,5.9,0.4,5.2,6.5,6.4,0.9,5.0,7.9,5.2,0.7,4.0,6.5,7.5,0.3,6.9,8.0,5.7,0.7,4.5,6.9,6.8,0.7,5.6,8.0,8.4,0.5,7.5,9.2,8.4,1.3,6.2,10.5,6.8,1.0,5.2,8.5
Undergraduate,1.2,0.2,0.9,1.5,0.6,0.2,0.4,0.9,1.9,0.5,1.1,2.7,1.3,0.2,1.0,1.5,1.2,0.4,0.6,1.9,0.9,0.3,0.5,1.4,1.7,0.1,1.5,2.0,1.1,0.3,0.6,1.7,1.3,0.3,0.7,1.8,1.6,0.3,1.2,2.0,1.0,0.3,0.5,1.5,0.5,0.2,0.2,0.8
Graduate,6.8,0.5,6.0,7.6,4.8,0.7,3.7,6.0,7.5,0.9,6.0,9.1,4.6,0.4,4.0,5.2,5.2,0.8,4.0,6.5,4.3,0.7,3.1,5.5,5.7,0.3,5.2,6.2,4.6,0.7,3.4,5.7,5.5,0.7,4.4,6.7,6.8,0.5,6.0,7.5,7.4,1.3,5.3,9.4,6.3,1.0,4.7,7.9
  Post secondary,6.2,0.5,5.4,6.9,6.6,1.0,4.9,8.2,7.4,1.3,5.2,9.6,6.5,0.5,5.6,7.3,8.8,1.1,7.0,10.6,5.7,0.8,4.4,7.0,6.8,0.5,6.0,7.5,8.0,1.1,6.2,9.7,7.5,0.8,6.1,8.8,5.8,0.5,5.0,6.7,7.5,1.5,5.1,9.9,6.3,1.0,4.6,7.9
Undergraduate,1.6,0.3,1.1,2.0,1.3,0.5,0.5,2.0,1.8,0.5,0.9,2.6,1.2,0.2,0.9,1.6,2.3,0.6,1.4,3.3,0.8,0.3,0.4,1.3,2.8,0.2,2.4,3.1,1.2,0.4,0.6,1.8,3.0,0.6,2.1,3.9,1.2,0.2,0.9,1.6,1.1,0.4,0.5,1.7,1.1,0.4,0.4,1.8
Graduate,4.6,0.4,3.9,5.3,5.3,0.8,4.0,6.6,5.6,1.1,3.7,7.5,5.2,0.5,4.4,6.0,6.5,1.0,4.9,8.1,4.9,0.7,3.7,6.1,4.0,0.4,3.4,4.7,6.7,1.0,5.0,8.4,4.4,0.7,3.3,5.6,4.6,0.5,3.9,5.4,6.4,1.4,4.1,8.8,5.2,0.9,3.7,6.6
  College,35.0,1.0,33.4,36.6,36.3,1.9,33.2,39.4,33.6,1.9,30.4,36.7,36.9,1.1,35.1,38.6,37.1,2.3,33.4,40.8,36.4,2.1,33.0,39.8,34.8,0.9,33.3,36.2,32.4,1.8,29.4,35.3,31.9,1.7,29.1,34.7,36.3,1.1,34.6,38.1,35.1,2.1,31.6,38.6,38.0,2.0,34.7,41.3
Undergraduate,11.4,0.5,10.5,12.3,11.5,1.1,9.7,13.3,9.4,0.9,7.9,10.9,12.9,0.6,11.9,13.8,12.1,1.2,10.2,14.0,13.1,1.2,11.2,15.0,15.5,0.6,14.5,16.6,13.2,1.2,11.3,15.2,13.7,1.2,11.7,15.6,12.4,0.6,11.4,13.5,11.4,1.3,9.4,13.5,13.1,1.4,10.9,15.3
Graduate,23.6,0.9,22.2,25.0,24.8,1.6,22.1,27.4,24.2,1.7,21.4,26.9,24.0,0.9,22.6,25.4,25.0,1.8,22.0,28.0,23.3,1.7,20.4,26.1,19.3,0.6,18.2,20.3,19.1,1.6,16.6,21.7,18.2,1.4,15.8,20.5,23.9,0.9,22.4,25.4,23.7,1.7,20.9,26.4,24.9,1.9,21.8,28.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Details may not add up to totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
           p - Preliminary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            All estimates used the 2015 POPCEN-based Population Projection.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          1 - Preliminary estimate excludes Sulu and Tawi-tawi. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Philippine Statistics Authority, Labor Force Survey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
